SMILES,MLM,HLM,AlogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_RotatableBonds,LogD,Molecular_PolarSurfaceArea,0,1,2,cluster
CCOc1ccc(CNC(=O)c2cc(-c3sc(C)nc3C)n[nH]2)cc1OCC,26.01,50.68,3.259,400.495,5,2,8,3.259,117.37,0.7761570520821155,0.9539821611415934,-1.0755727888779656,1
Cc1nc(C)c(CN2CC(C)C(=O)Nc3ccccc32)s1,29.27,50.59,2.169,301.407,2,1,2,2.172,73.47,-0.19053193046336164,-0.31396363332991395,1.3527459926908072,5
CCCN1CCN(c2nn3nnnc3c3ccccc23)CC1,5.586,80.892,1.593,297.358,5,0,3,1.585,62.45,0.021953514146022757,-0.8482975947562276,0.6555897905809772,5
Cc1ccc(-c2ccc(-n3nc(C)c(S(=O)(=O)N4CCN(C5CCCCC5)CC4)c3C)nn2)cc1,5.71,2.0,4.771,494.652,6,0,5,3.475,92.6,-0.5462174334232027,0.41706281749734214,1.086352764703057,6
Cc1ccc2c(c1)N(C(=O)c1ccncc1)CC(C)O2,93.27,99.99,2.335,268.31,3,0,1,2.337,42.43,-0.1165789072881142,0.30981092586245307,0.3796286775313943,6
COc1c(F)c(F)cc2c(=O)c(C(=O)NCCCN3CCCC3=O)cn(C3CC3)c12,27.64,66.63,1.335,419.422,4,1,7,1.335,78.95,0.3377391643123737,1.9983441112470435,0.21647178331880748,6
CN(C)c1cccc2c(S(=O)(=O)NC(CC(=O)O)C(=O)O)cccc12,82.107,69.25,1.954,547.707,7,4,9,0.464,144.42,0.5470628521537513,-0.5475493388031731,-0.9453978053472334,4
C1=Cn2nc(/C=C/c3cccs3)nc2-c2ccccc2O1,2.673,25.121,2.967,293.343,3,0,2,2.967,68.18,-0.0018712940717025366,-1.1545939573170152,1.0620952733741966,5
COc1ccc2nc(C3=CCCN(C)C3)n(C)c2c1,74.519,71.471,-0.946,347.366,7,2,3,-0.723,104.89,-0.4812654871253938,0.2333715848663989,0.3185371563992636,0
CCN1CCCC1CNC(=O)C1CCCN(c2ncnc3[nH]cnc23)C1,73.417,76.291,1.259,357.453,5,2,5,-0.373,90.04,-0.329074133633221,0.9690726283935278,-0.15927782065384702,6
