AlogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_RotatableBonds,LogD,Molecular_PolarSurfaceArea,SMILES,MLM,HLM
0.5549636077136642,0.1921379262753863,0.3333333333333333,0.2,0.21052631578947367,0.5796598157335223,0.3892697568129882,CCOc1ccc(CNC(=O)c2cc(-c3sc(C)nc3C)n[nH]2)cc1OCC,26.01,50.68
0.4731747580100549,0.10875066377062106,0.13333333333333333,0.1,0.05263157894736842,0.5026222537207654,0.2395375012790341,Cc1nc(C)c(CN2CC(C)C(=O)Nc3ccccc32)s1,29.27,50.59
0.42995422825842283,0.10534323778683094,0.3333333333333333,0.0,0.07894736842105263,0.461020552799433,0.20195095330672944,CCCN1CCN(c2nn3nnnc3c3ccccc23)CC1,5.586,80.892
0.6684174983116982,0.2713755178673165,0.4,0.0,0.13157894736842105,0.5949681077250177,0.3047852928135339,Cc1ccc(-c2ccc(-n3nc(C)c(S(=O)(=O)N4CCN(C5CCCCC5)CC4)c3C)nn2)cc1,5.71,2.0
0.48563067457042103,0.0808979648855874,0.2,0.0,0.02631578947368421,0.5143160878809355,0.13366758757119956,Cc1ccc2c(c1)N(C(=O)c1ccncc1)CC(C)O2,93.27,99.99
0.41059503264050434,0.2080658965384625,0.26666666666666666,0.1,0.18421052631578946,0.44330262225372075,0.258228452539309,COc1c(F)c(F)cc2c(=O)c(C(=O)NCCCN3CCCC3=O)cn(C3CC3)c12,27.64,66.63
0.45704209499512277,0.31602382252772265,0.4666666666666667,0.4,0.23684210526315788,0.38157335223245925,0.48153074797912615,CN(C)c1cccc2c(S(=O)(=O)NC(CC(=O)O)C(=O)O)cccc12,82.107,69.25
0.5330532002701285,0.10196442441935324,0.2,0.0,0.05263157894736842,0.5589652728561304,0.22149459394931617,C1=Cn2nc(/C=C/c3cccs3)nc2-c2ccccc2O1,2.673,25.121
0.23943873339836425,0.14742734709712382,0.4666666666666667,0.2,0.07894736842105263,0.2974486180014174,0.34670350284798257,COc1ccc2nc(C3=CCCN(C)C3)n(C)c2c1,74.519,71.471
0.40489232385383067,0.1559160371189788,0.3333333333333333,0.2,0.13157894736842105,0.3222537207654146,0.296053753538661,CCN1CCCC1CNC(=O)C1CCCN(c2ncnc3[nH]cnc23)C1,73.417,76.291
